counter,treatment,plant.no,farm,branch.code,total.berries,berry.no,mass,brix,big.seeds,med.seeds,lil.seeds
MM,E,338,Adam's,HPLC,1,1,1.5529,11,31,47,12
MM,E,338,Adam's,HPLC,5,2,0.8524,10,31,15,12
MM,E,338,Adam's,HPLC,5,3,1.3473,9,29,50,7
MM,E,338,Adam's,HPLC,5,4,1.4489,9,24,50,21
MM,E,338,Adam's,HPLC,5,5,1.7507,9,41,58,11
MM,E,338,Adam's,HPLA,3,1,1.7204,12,31,56,20
MM,E,338,Adam's,HPLA,3,2,1.4699,13,32,53,18
MM,E,338,Adam's,HPLA,3,3,1.2991,10,19,53,16
MM,E,338,Adam's,HPLA,1,1,1.3479,13,19,54,2
MM,E,137,Boutin,CLA,3,1,1.6709,5,25,40,12
MM,E,137,Boutin,CLA,3,2,1.8271,10,44,18,12
MM,E,137,Boutin,CLA,3,3,1.5315,9,27,35,18
MM,E,137,Boutin,CLA,2,4,2.4574,13,31,39,11
MM,E,137,Boutin,CLA,2,5,2.2287,9,42,33,11
MM,E,137,Boutin,CLB,,1,2.7043,9,46,19,12
MM,E,137,Boutin,CLB,,2,2.1906,12,38,36,15
MM,E,137,Boutin,CLB,,3,1.5642,9,34,25,19
MM,E,137,Boutin,CLB,,4,1.8631,9,30,45,13
MM,E,137,Boutin,CLB,,5,2.0102,11,36,25,14
MM,E,247,Adam's,HPLA,1,1,1.8126,11,54,18,7
MM,E,358,Charlotte,HPLA,4,1,2.5167,10,73,17,14
MM,E,358,Charlotte,HPLA,4,2,2.2314,10,26,56,12
MM,E,358,Charlotte,HPLA,5,3,1.5977,9,66,30,11
MM,E,358,Charlotte,HPLA,5,4,1.8081,10,70,15,8
MM,E,358,Charlotte,HPLA,5,5,1.7836,11,15,56,17
MM,E,216,Full Belly,CLA,2,1,1.4938,14,25,61,6
MM,E,216,Full Belly,CLA,2,2,1.5121,14,38,39,11
MM,E,216,Full Belly,CLA,2,1,1.2951,13,25,53,10
MM,E,216,Full Belly,CLA,2,2,1.4496,14,21,64,9
MM,E,216,Full Belly,CLA,2,1,1.6293,14,39,53,9
MM,E,216,Full Belly,CLC,2,1,1.3325,9,33,58,9
MM,E,216,Full Belly,CLC,2,2,1.1017,9,26,67,15
MM,E,216,Full Belly,CLC,1,3,1.3189,10,26,43,8
MM,E,216,Full Belly,CLB,5,1,1.3718,10,23,65,8
MM,E,216,Full Belly,CLB,5,2,1.0847,10,16,72,12
MM,E,216,Full Belly,CLB,5,3,1.2149,12,9,52,8
MM,E,216,Full Belly,CLB,5,4,1.1086,10,11,55,21
MM,E,216,Full Belly,CLB,5,5,1.0454,10,11,58,15
RS,E,216,Full Belly,HPLB,1,1,1.3135,12,21,70,3
RS,E,216,Full Belly,HPLB,4,1,1.2921,14,32,50,14
RS,E,216,Full Belly,HPLB,4,2,1.0677,11,20,70,10
RS,E,216,Full Belly,HPLB,4,3,1.0794,11,21,64,7
RS,E,216,Full Belly,HPLB,4,4,1.0407,10.5,17,57,15
RS,E,216,Full Belly,HPLA,2,1,1.4989,13,41,43,14
RS,E,216,Full Belly,HPLA,2,2,2.1302,9,38,54,9
RS,E,216,Full Belly,HPLA,1,1,1.877,17,40,37,9
RS,E,216,Full Belly,HPLA,1,1,1.3742,11,16,71,15
RS,E,216,Full Belly,HPLA,1,1,1.4905,12,30,59,7
MM,,303,Isham,HPLA,2,1,1.2356,13,8,44,12
MM,,303,Isham,HPLA,2,2,1.2445,14,4,42,16
MM,,303,Isham,HPLA,1,3,1.5899,12,11,46,13
MM,,303,Isham,HPLA,1,4,1.6423,9,32,28,10
MM,,303,Isham,CLA,1,1,1.6677,10,16,65,10
MM,,196,Full Belly,HPLB,1,1,0.6607,16,30,47,7
MM,,196,Full Belly,HPLB,1,2,1.3217,12,19,77,9
MM,,196,Full Belly,CLA,2,1,1.3427,13,29,46,6
MM,,196,Full Belly,CLA,2,2,1.3261,15,21,53,14
MM,,196,Full Belly,CLA,3,3,1.5366,11,25,58,14
MM,,196,Full Belly,CLA,3,4,1.4003,13,12,61,13
MM,,196,Full Belly,CLA,3,5,1.1592,12,21,52,5
MM,,196,Full Belly,HPLA,4,1,1.2134,11,20,63,11
MM,,196,Full Belly,HPLA,4,2,1.2247,9,20,63,6
MM,,196,Full Belly,HPLA,4,3,1.2593,9,30,46,6
MM,,196,Full Belly,HPLA,3,4,1.2832,10,36,46,7
MM,,196,Full Belly,HPLA,3,5,1.1262,8,38,52,2
MM,,161,Boutin,HPLA,1,1,1.4717,9,34,18,10
MM,,161,Boutin,CLA,1,1,0.4355,14,16,16,8
MM,,161,Boutin,CLA,1,2,0.9448,13,16,27,12
MM,,161,Boutin,CLA,1,3,1.1515,12,25,28,10
MM,,161,Boutin,CLA,1,4,1.2414,11,18,28,14
MM,,174,Knoll,CLA,3,1,2.5184,12,22,39,6
MM,,174,Knoll,CLA,3,2,2.1383,11,24,29,7
MM,,174,Knoll,CLA,3,3,2.0915,11,39,24,7
MM,,174,Knoll,CLA,3,4,1.9655,6,26,49,10
MM,,174,Knoll,CLA,3,5,1.9053,10,35,25,13
MM,,356,Knoll,CLA,1,1,0.6771,12,3,46,9
MM,,356,Knoll,CLA,1,2,0.6175,10,3,48,7
MM,,356,Knoll,CLA,1,3,0.6517,9,3,32,22
MM,,356,Knoll,CLA,1,4,0.9307,11,8,43,26
MM,,356,Knoll,HPLB,1,1,0.7009,10,20,43,10
MM,,278,Isham,CLA,1,1,1.1738,7,32,37,7
MM,,278,Isham,CLB,1,1,1.7741,7,32,54,7
MM,,278,Isham,CLB,3,2,1.4735,13,18,40,9
MM,,278,Isham,CLB,3,3,1.1015,10,11,51,9
MM,,278,Isham,CLB,3,4,1.3596,11,18,32,9
MM,,278,Isham,CLB,1,5,0.2723,13.5,2,25,6
MM,,278,Isham,CLC,1,1,0.2054,19,4,5,8
MM,,278,Isham,HPLA,1,1,1.8938,12,26,43,9
MM,,278,Isham,HPLA,2,2,1.9371,14,46,28,9
MM,,278,Isham,HPLA,2,3,1.8554,15,46,26,10
MM,,278,Isham,HPLA,1,4,1.4506,14,16,45,9
MM,,278,Isham,HPLB,1,1,1.3804,13,18,9,8
MM,,278,Isham,HPLB,2,2,1.4822,11,19,43,12
MM,,278,Isham,HPLB,2,3,1.2412,10,20,36,6
MM,,278,Isham,HPLC,1,1,1.5081,7,45,23,10
MM,,278,Isham,HPLC,2,2,1.1026,14,31,38,6
MM,,278,Isham,HPLC,2,3,1.2961,18,24,41,12
MM,,174,Knoll,HPLB,1,1,1.3776,13,9,68,7
MM,,174,Knoll,CLB,2,1,1.6985,13,9,75,7
MM,,174,Knoll,CLB,2,2,1.4111,9,15,64,5
MM,,174,Knoll,CLA,1,1,1.4949,16,1,17,30
EEO,E,257,,HPLB,1,1,0.1788,11,2,1,10
EEO,E,257,,CLB,1,1,0.182,11,0,0,1
EEO,E,257,,HPLB,1,1,0.5825,11,0,0,9
EEO,E,257,,CLB,1,1,0.7581,14,0,0,19
EEO,E,193,,CLA,2,1,1.1329,12,23,38,12
EEO,E,193,,CLA,2,2,0.6733,10,0,59,2
EEO,E,193,,CLA,4,1,1.5416,11,49,28,8
EEO,E,193,,CLA,4,2,1.1062,10,13,43,4
